"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJHLDNG","EQ","19-Mar-2018","       2602.50","       2633.00","       2633.00","       2522.25","       2522.30","       2531.90","       2569.32","       9005","            23136762.65","       2263","       5237","         58.16"
"BAJAJHLDNG","EQ","20-Mar-2018","       2531.90","       2525.00","       2555.00","       2522.25","       2549.00","       2543.75","       2540.86","       5301","            13469096.20","       1965","       3127","         58.99"
"BAJAJHLDNG","EQ","21-Mar-2018","       2543.75","       2539.05","       2563.00","       2522.25","       2523.25","       2533.70","       2543.30","       9441","            24011321.80","       2577","       6736","         71.35"
"BAJAJHLDNG","EQ","22-Mar-2018","       2533.70","       2534.90","       2548.95","       2517.65","       2545.00","       2527.45","       2528.10","       3243","             8198615.90","        616","       2250","         69.38"
"BAJAJHLDNG","EQ","23-Mar-2018","       2527.45","       2501.00","       2538.00","       2501.00","       2537.00","       2530.20","       2521.66","      13683","            34503841.60","       1832","      11830","         86.46"
"BAJAJHLDNG","EQ","26-Mar-2018","       2530.20","       2511.05","       2712.75","       2511.05","       2620.00","       2665.05","       2583.30","      29315","            75729374.20","       3646","      22570","         76.99"
"BAJAJHLDNG","EQ","27-Mar-2018","       2665.05","       2669.70","       2673.90","       2613.15","       2620.00","       2620.75","       2630.18","       9121","            23989916.05","       1694","       5994","         65.72"
"BAJAJHLDNG","EQ","28-Mar-2018","       2620.75","       2614.00","       2690.00","       2520.00","       2675.00","       2664.50","       2616.15","      17847","            46690509.45","       3975","       9430","         52.84"
"BAJAJHLDNG","EQ","02-Apr-2018","       2664.50","       2657.50","       2672.15","       2580.05","       2620.00","       2622.85","       2626.08","      12403","            32571209.05","       2959","       7937","         63.99"
"BAJAJHLDNG","EQ","03-Apr-2018","       2622.85","       2600.05","       2635.00","       2592.05","       2635.00","       2621.75","       2624.16","       2516","             6602382.00","        630","       1427","         56.72"
"BAJAJHLDNG","EQ","04-Apr-2018","       2621.75","       2634.00","       2649.00","       2605.00","       2620.00","       2617.70","       2626.06","       5817","            15275810.30","       1087","       3881","         66.72"
"BAJAJHLDNG","EQ","05-Apr-2018","       2617.70","       2634.00","       2636.00","       2612.10","       2624.80","       2624.50","       2627.31","      30267","            79520915.55","        972","      27912","         92.22"
"BAJAJHLDNG","EQ","06-Apr-2018","       2624.50","       2645.00","       2647.00","       2626.00","       2645.70","       2641.10","       2630.31","      63025","           165775186.75","       1047","      61217","         97.13"
"BAJAJHLDNG","EQ","09-Apr-2018","       2641.10","       2667.00","       2667.00","       2613.50","       2622.00","       2640.15","       2643.12","       3757","             9930208.85","        893","       2733","         72.74"
"BAJAJHLDNG","EQ","10-Apr-2018","       2640.15","       2632.05","       2649.00","       2598.95","       2623.00","       2631.90","       2614.90","       6541","            17104063.60","        931","       4516","         69.04"
"BAJAJHLDNG","EQ","11-Apr-2018","       2631.90","       2638.95","       2650.05","       2602.35","       2642.75","       2629.75","       2631.40","      24319","            63993042.15","       1033","      21510","         88.45"
"BAJAJHLDNG","EQ","12-Apr-2018","       2629.75","       2629.00","       2650.00","       2629.00","       2639.00","       2636.30","       2643.39","       1831","             4840046.30","        292","       1243","         67.89"
"BAJAJHLDNG","EQ","13-Apr-2018","       2636.30","       2658.80","       2658.80","       2630.00","       2635.00","       2636.30","       2642.14","       2070","             5469232.60","        377","       1494","         72.17"
"BAJAJHLDNG","EQ","16-Apr-2018","       2636.30","       2640.80","       2654.00","       2626.20","       2640.00","       2641.45","       2642.36","       2912","             7694561.90","        908","       1792","         61.54"
"BAJAJHLDNG","EQ","17-Apr-2018","       2641.45","       2640.00","       2655.00","       2640.00","       2655.00","       2649.30","       2649.07","       2665","             7059776.60","        409","       2241","         84.09"
"BAJAJHLDNG","EQ","18-Apr-2018","       2649.30","       2659.95","       2659.95","       2640.00","       2650.00","       2647.55","       2649.35","       8254","            21867756.15","        529","       7526","         91.18"
"BAJAJHLDNG","EQ","19-Apr-2018","       2647.55","       2649.00","       2650.40","       2611.25","       2616.00","       2620.25","       2640.68","       4887","            12904981.05","        703","       4009","         82.03"
"BAJAJHLDNG","EQ","20-Apr-2018","       2620.25","       2625.00","       2635.05","       2611.20","       2620.00","       2620.95","       2620.27","       4364","            11434880.00","        964","       3216","         73.69"
"BAJAJHLDNG","EQ","23-Apr-2018","       2620.95","       2605.05","       2621.65","       2600.00","       2600.35","       2602.40","       2605.07","       6957","            18123439.40","       1400","       5538","         79.60"
"BAJAJHLDNG","EQ","24-Apr-2018","       2602.40","       2602.40","       2640.85","       2602.40","       2635.00","       2625.65","       2620.43","      23508","            61601058.40","       3213","      15745","         66.98"
"BAJAJHLDNG","EQ","25-Apr-2018","       2625.65","       2626.55","       2646.00","       2620.55","       2627.00","       2629.45","       2627.00","      13103","            34421541.35","        859","      11796","         90.03"
"BAJAJHLDNG","EQ","26-Apr-2018","       2629.45","       2653.70","       2653.70","       2612.30","       2626.00","       2625.70","       2626.20","      26690","            70093297.60","       2372","      25401","         95.17"
"BAJAJHLDNG","EQ","27-Apr-2018","       2625.70","       2611.10","       2658.00","       2611.10","       2650.00","       2645.95","       2624.72","      59293","           155627491.55","       1139","      23980","         40.44"
"BAJAJHLDNG","EQ","30-Apr-2018","       2645.95","       2645.00","       2735.00","       2645.00","       2700.00","       2705.65","       2700.88","      10759","            29058720.35","       2055","       6800","         63.20"
"BAJAJHLDNG","EQ","02-May-2018","       2705.65","       2705.65","       2719.70","       2676.00","       2700.00","       2700.00","       2699.89","      11714","            31626481.65","       1109","       9847","         84.06"
"BAJAJHLDNG","EQ","03-May-2018","       2700.00","       2674.30","       2709.80","       2652.85","       2709.80","       2679.75","       2679.28","      26679","            71480500.90","       1321","      24958","         93.55"
"BAJAJHLDNG","EQ","04-May-2018","       2679.75","       2653.05","       2696.15","       2648.05","       2680.00","       2665.35","       2656.46","       6282","            16687881.50","       1227","       4630","         73.70"
"BAJAJHLDNG","EQ","07-May-2018","       2665.35","       2658.05","       2684.70","       2651.20","       2680.00","       2678.40","       2672.62","       4474","            11957319.10","        613","       3252","         72.69"
"BAJAJHLDNG","EQ","08-May-2018","       2678.40","       2689.50","       2689.50","       2651.00","       2662.00","       2661.65","       2661.01","      27393","            72892914.65","       5051","      24070","         87.87"
"BAJAJHLDNG","EQ","09-May-2018","       2661.65","       2650.00","       2657.00","       2641.00","       2650.00","       2650.15","       2650.07","      11316","            29988159.35","       1302","       9734","         86.02"
"BAJAJHLDNG","EQ","10-May-2018","       2650.15","       2641.05","       2654.90","       2641.05","       2650.00","       2649.95","       2650.04","       7487","            19840830.80","        371","       7076","         94.51"
"BAJAJHLDNG","EQ","11-May-2018","       2649.95","       2650.15","       2656.10","       2641.00","       2652.95","       2651.80","       2650.94","       1889","             5007627.40","        418","       1578","         83.54"
"BAJAJHLDNG","EQ","14-May-2018","       2651.80","       2680.00","       2680.00","       2610.25","       2612.50","       2614.40","       2622.33","       6753","            17708585.45","        659","       5388","         79.79"
